backbone,epoch,tau_mean,tau_min,tau_max,L_magnitude,L_progress
GNN,152,-0.084795,-0.090015,-0.079576,0.264525,-1.11851
GNN,153,-0.082716,-0.087347,-0.078084,0.268835,-1.14343
GNN,154,-0.083812,-0.088406,-0.079217,0.254945,-1.11865
GNN,155,-0.085891,-0.090548,-0.081233,0.260427,-1.12766
GNN,156,-0.086197,-0.090883,-0.081511,0.26277,-1.13409
GNN,157,-0.086520,-0.091239,-0.081801,0.280772,-1.16277
GNN,158,-0.087527,-0.092357,-0.082697,0.258084,-1.13081
GNN,159,-0.088094,-0.092949,-0.083239,0.273286,-1.15825
GNN,160,-0.088038,-0.092874,-0.083202,0.264987,-1.07564
GNN,161,-0.082455,-0.087697,-0.077212,0.260799,-1.07332
GNN,162,-0.089417,-0.095343,-0.083491,0.264178,-1.0965
GNN,163,-0.075083,-0.078819,-0.071346,0.25286,-1.05017
GNN,164,-0.099584,-0.103214,-0.095954,0.258716,-1.07108
GNN,165,-0.097859,-0.102940,-0.092779,0.266396,-1.09941
GNN,166,-0.082582,-0.086162,-0.079003,0.250752,-1.09412
GNN,167,-0.083473,-0.085985,-0.080960,0.248746,-1.03218
GNN,168,-0.073458,-0.077464,-0.069452,0.246428,-1.02502
GNN,169,-0.082923,-0.086478,-0.079367,0.25225,-1.07783
GNN,170,-0.074890,-0.078671,-0.071108,0.249998,-1.01301
GNN,171,-0.081471,-0.085245,-0.077697,0.242093,-1.0275
GNN,172,-0.087269,-0.090887,-0.083651,0.270944,-1.10742
GNN,173,-0.087562,-0.091281,-0.083842,0.244629,-1.02406
GNN,174,-0.087488,-0.091362,-0.083613,0.237604,-1.05012
GNN,175,-0.090675,-0.094363,-0.086986,0.243858,-1.00978
GNN,176,-0.091181,-0.094807,-0.087555,0.245491,-1.01243
GNN,177,-0.088913,-0.092709,-0.085117,0.238353,-0.962965
GNN,178,-0.089364,-0.093221,-0.085507,0.242996,-1.01341
GNN,179,-0.090033,-0.093873,-0.086192,0.238297,-1.00584
GNN,180,-0.089855,-0.093699,-0.086011,0.236706,-0.977709
GNN,181,-0.091158,-0.095535,-0.086782,0.232933,-1.00456
GNN,182,-0.077980,-0.080969,-0.074990,0.233908,-0.97684
GNN,183,-0.063262,-0.066424,-0.060100,0.238776,-1.01646
GNN,184,-0.078790,-0.083046,-0.074533,0.228315,-0.961486
GNN,185,-0.078409,-0.083206,-0.073612,0.240501,-1.04018
GNN,186,-0.086286,-0.089833,-0.082740,0.240668,-1.02659
GNN,187,-0.094669,-0.098579,-0.090759,0.235911,-0.985174
GNN,188,-0.087207,-0.089712,-0.084702,0.236319,-1.01846
GNN,189,-0.084698,-0.086557,-0.082839,0.232985,-1.02061
GNN,190,-0.089359,-0.091194,-0.087524,0.248613,-1.06224
GNN,191,-0.085270,-0.087759,-0.082780,0.245536,-1.0272
GNN,192,-0.083459,-0.086357,-0.080560,0.245073,-1.00084
GNN,193,-0.081931,-0.085711,-0.078151,0.243358,-0.994076
GNN,194,-0.079119,-0.082970,-0.075268,0.245443,-1.04313
GNN,195,-0.078765,-0.082574,-0.074956,0.23752,-0.983407
GNN,196,-0.077225,-0.081003,-0.073447,0.232508,-0.979372
GNN,197,-0.075987,-0.079447,-0.072527,0.245649,-1.01398
GNN,198,-0.076564,-0.079740,-0.073388,0.236331,-1.01907
